id,order_id,product_id,product_name,size,color,quantity,unit_price,line_total
oi0001,o0001,p029,Slim Wool Sandals,42,White,2,332.03,664.06
oi0002,o0001,p040,Slim Linen Lipstick,One Size,Olive,2,145.94,291.88
oi0003,o0001,p033,Classic Wool Tee,L,Black,2,480.17,960.34
oi0004,o0002,p005,Slim Cashmere Trousers,M,Black,2,425.8,851.6
oi0005,o0002,p019,Premium Wool Belt,One Size,White,1,134.62,134.62
oi0006,o0002,p016,Luxe Linen Suit,L,White,1,236.79,236.79
oi0007,o0002,p018,Bold Wool Wallet,One Size,Black,1,306.49,306.49
oi0008,o0003,p025,Classic Knit Boots,39,Grey,2,295.58,591.16
oi0009,o0003,p038,Classic Cashmere Pants,M,Beige,2,441.81,883.62
oi0010,o0003,p002,Bold Cotton Dress,XL,White,2,302.44,604.88
oi0011,o0003,p037,Oversized Velvet Hoodie,XL,Olive,3,317.16,951.48
oi0012,o0004,p022,Modern Velvet Sunglasses,One Size,Grey,3,450.81,1352.43
oi0013,o0004,p043,Classic Velvet Mascara,One Size,Grey,1,283.81,283.81
oi0014,o0004,p044,Classic Suede Foundation,One Size,Beige,3,36.29,108.87
oi0015,o0004,p026,Luxe Cashmere Sneakers,39,Black,3,222.32,666.96
oi0016,o0005,p021,Premium Suede Hat,One Size,Navy,2,381.53,763.06
oi0017,o0005,p022,Modern Velvet Sunglasses,One Size,Brown,2,450.81,901.62
oi0018,o0005,p025,Classic Knit Boots,36,Brown,3,295.58,886.74
oi0019,o0005,p018,Bold Wool Wallet,One Size,Beige,1,306.49,306.49
oi0020,o0006,p031,Vintage Velvet Flats,40,Grey,1,155.92,155.92
oi0021,o0006,p043,Classic Velvet Mascara,One Size,Grey,2,283.81,567.62
oi0022,o0007,p026,Luxe Cashmere Sneakers,42,Brown,3,222.32,666.96
oi0023,o0007,p013,Luxe Cashmere Hoodie,XS,Brown,1,124.27,124.27
oi0024,o0007,p005,Slim Cashmere Trousers,XL,Olive,2,425.8,851.6
oi0025,o0007,p038,Classic Cashmere Pants,XS,Beige,3,441.81,1325.43
oi0026,o0008,p032,Minimal Suede Trainers,42,Grey,3,48.26,144.78
oi0027,o0008,p007,Premium Leather Top,S,Brown,3,491.91,1475.73
oi0028,o0008,p028,Classic Denim Heels,41,Black,1,107.07,107.07
oi0029,o0008,p024,Slim Wool Gloves,One Size,Cream,3,431.62,1294.86
oi0030,o0009,p006,Slim Denim Jacket,S,Olive,2,56.82,113.64
oi0031,o0009,p018,Bold Wool Wallet,One Size,Grey,3,306.49,919.47
oi0032,o0010,p018,Bold Wool Wallet,One Size,Black,1,306.49,306.49
oi0033,o0010,p039,Vintage Knit Perfume,One Size,Cream,1,491.25,491.25
oi0034,o0010,p036,Vintage Denim Jacket,S,Beige,3,81.82,245.46
oi0035,o0011,p016,Luxe Linen Suit,L,White,2,236.79,473.58
oi0036,o0011,p020,Bold Linen Scarf,One Size,Grey,3,80.63,241.89
oi0037,o0011,p043,Classic Velvet Mascara,One Size,Grey,3,283.81,851.43
oi0038,o0011,p038,Classic Cashmere Pants,L,Beige,3,441.81,1325.43
oi0039,o0012,p013,Luxe Cashmere Hoodie,L,Black,3,124.27,372.81
oi0040,o0012,p014,Classic Denim Coat,XL,Navy,3,305.28,915.84
oi0041,o0013,p001,Slim Wool Coat,XS,Navy,2,374.94,749.88
oi0042,o0013,p035,Luxe Knit Shorts,M,Cream,3,290.31,870.93
oi0043,o0013,p009,Classic Suede Shirt,L,Grey,1,368.98,368.98
