id,slug,name,description,price,category_id,image_url,sizes,colors,stock,is_featured,created_at
p001,slim-wool-coat-1,Slim Wool Coat,Slim wool coat crafted with premium materials.,374.94,c1,/images/slim-wool-coat-1.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Navy"", ""White"", ""Cream""]",31,True,2025-07-09T00:00:00
p002,bold-cotton-dress-2,Bold Cotton Dress,Bold cotton dress crafted with premium materials.,302.44,c1,/images/bold-cotton-dress-2.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""Grey"", ""White""]",4,True,2025-06-04T00:00:00
p003,oversized-suede-blouse-3,Oversized Suede Blouse,Oversized suede blouse crafted with premium materials.,114.44,c1,/images/oversized-suede-blouse-3.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Brown"", ""White"", ""Navy""]",83,False,2025-01-02T00:00:00
p004,classic-denim-skirt-4,Classic Denim Skirt,Classic denim skirt crafted with premium materials.,182.32,c1,/images/classic-denim-skirt-4.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Navy"", ""Brown"", ""Beige""]",19,True,2025-04-08T00:00:00
p005,slim-cashmere-trousers-5,Slim Cashmere Trousers,Slim cashmere trousers crafted with premium materials.,425.8,c1,/images/slim-cashmere-trousers-5.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Olive"", ""Brown"", ""Black""]",77,False,2025-05-18T00:00:00
p006,slim-denim-jacket-6,Slim Denim Jacket,Slim denim jacket crafted with premium materials.,56.82,c1,/images/slim-denim-jacket-6.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Cream"", ""Olive"", ""White""]",37,False,2025-01-12T00:00:00
p007,premium-leather-top-7,Premium Leather Top,Premium leather top crafted with premium materials.,491.91,c1,/images/premium-leather-top-7.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Navy"", ""Brown"", ""Black""]",109,False,2025-04-27T00:00:00
p008,modern-linen-cardigan-8,Modern Linen Cardigan,Modern linen cardigan crafted with premium materials.,196.69,c1,/images/modern-linen-cardigan-8.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Olive"", ""Cream"", ""Brown""]",26,False,2025-06-05T00:00:00
p009,classic-suede-shirt-9,Classic Suede Shirt,Classic suede shirt crafted with premium materials.,368.98,c2,/images/classic-suede-shirt-9.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Grey"", ""Navy"", ""Beige""]",20,False,2025-06-13T00:00:00
p010,bold-silk-trousers-10,Bold Silk Trousers,Bold silk trousers crafted with premium materials.,347.61,c2,/images/bold-silk-trousers-10.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Black"", ""White"", ""Grey""]",107,False,2025-04-13T00:00:00
p011,vintage-cotton-jacket-11,Vintage Cotton Jacket,Vintage cotton jacket crafted with premium materials.,120.27,c2,/images/vintage-cotton-jacket-11.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Cream"", ""White"", ""Grey""]",120,False,2025-06-14T00:00:00
p012,soft-linen-tee-12,Soft Linen Tee,Soft linen tee crafted with premium materials.,146.14,c2,/images/soft-linen-tee-12.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL""]","[""Olive"", ""Cream"", ""Grey""]",31,False,2025-05-30T00:00:00
