id,slug,name,description,price,category_id,image_url,sizes,colors,stock,is_featured,rating,created_at
p045,classic-mohair-trousers-45,Classic Mohair Trousers,"Classic mohair trousers crafted with premium materials, designed for everyday luxury.",313.92,c1,/images/classic-mohair-trousers-45.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Brown"", ""Burgundy""]",27,False,4.0,2025-01-27T00:00:00
p046,tailored-suede-jacket-46,Tailored Suede Jacket,"Tailored suede jacket crafted with premium materials, designed for everyday luxury.",260.01,c2,/images/tailored-suede-jacket-46.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Black"", ""Brown""]",62,False,4.8,2025-07-13T00:00:00
p047,tailored-tweed-coat-47,Tailored Tweed Coat,"Tailored tweed coat crafted with premium materials, designed for everyday luxury.",344.07,c1,/images/tailored-tweed-coat-47.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Ivory"", ""Beige""]",11,True,4.9,2025-05-30T00:00:00
p048,essential-leather-oxfords-48,Essential Leather Oxfords,"Essential leather oxfords crafted with premium materials, designed for everyday luxury.",359.46,c4,/images/essential-leather-oxfords-48.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Cream"", ""Burgundy"", ""Sage""]",9,False,4.7,2025-06-11T00:00:00
p049,heritage-denim-top-49,Heritage Denim Top,"Heritage denim top crafted with premium materials, designed for everyday luxury.",517.67,c1,/images/heritage-denim-top-49.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Camel"", ""Charcoal"", ""Grey"", ""Burgundy""]",163,False,4.1,2025-01-17T00:00:00
p050,classic-jersey-cream-50,Classic Jersey Cream,"Classic jersey cream crafted with premium materials, designed for everyday luxury.",372.39,c6,/images/classic-jersey-cream-50.jpg,"[""One Size""]","[""Cream"", ""Blush""]",67,False,4.8,2025-08-22T00:00:00
p051,tailored-wool-oxfords-51,Tailored Wool Oxfords,"Tailored wool oxfords crafted with premium materials, designed for everyday luxury.",153.77,c4,/images/tailored-wool-oxfords-51.jpg,"[""35"", ""36"", ""37"", ""38"", ""39"", ""40"", ""41"", ""42"", ""43""]","[""Cream"", ""Black"", ""Blush"", ""Navy""]",22,False,4.3,2025-01-31T00:00:00
p052,essential-mohair-mascara-52,Essential Mohair Mascara,"Essential mohair mascara crafted with premium materials, designed for everyday luxury.",477.41,c6,/images/essential-mohair-mascara-52.jpg,"[""One Size""]","[""Grey"", ""Beige"", ""Charcoal"", ""Burgundy""]",59,False,4.6,2025-01-23T00:00:00
p053,sculpted-silk-blouse-53,Sculpted Silk Blouse,"Sculpted silk blouse crafted with premium materials, designed for everyday luxury.",30.42,c1,/images/sculpted-silk-blouse-53.jpg,"[""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""]","[""Olive"", ""Brown"", ""Ivory"", ""Charcoal""]",90,True,4.4,2025-07-01T00:00:00
p054,classic-denim-lipstick-54,Classic Denim Lipstick,"Classic denim lipstick crafted with premium materials, designed for everyday luxury.",673.75,c6,/images/classic-denim-lipstick-54.jpg,"[""One Size""]","[""White"", ""Burgundy"", ""Rust""]",137,False,3.5,2025-06-15T00:00:00
